Site ID	ST	ET	STxET	pH-H2O	C-org	N-tot	P-tot	Molar C:N ratio	Molar C:P ratio	Molar N:P ratio	Log(aveL)adult	Log(aveL)juv	Log(aveL)tot	Log(aveW)adult	Log(aveW)juv	Log(aveW)tot	Log(aveM)adult	Log(aveM)juv	Log(aveM)tot																				
328	HI	MG	HIxMG	5.8	113.4	7.3	1.34	18.2	218.8	12.0	2.73	2.64	2.66	1.31	1.22	1.25	-1.38	-1.58	-1.52																				
329	FC	MG	FCxMG	5.6	79.1	6.3	1.20	14.7	170.4	11.6	2.86	2.66	2.74	1.5	1.27	1.36	-0.91	-1.49	-1.2																				
330	FC	MG	FCxMG	6.5	69.8	3.6	1.25	22.5	144.1	6.4	2.81	2.71	2.74	1.38	1.29	1.32	-1.03	-1.28	-1.21																				
331	PO	MG	POxMG	5.8	55.8	3.5	0.66	18.8	218.3	11.6	2.86	2.67	2.73	1.42	1.27	1.32	-1.03	-1.4	-1.25																				
332	PO	MG	POxMG	5.7	57.0	3.6	0.82	18.5	179.0	9.7	2.81	2.66	2.71	1.37	1.27	1.3	-1.29	-1.43	-1.39																				
333	FC	MG	FCxMG	6.2	57.6	5.7	1.12	11.9	132.3	11.2	2.76	2.7	2.72	1.34	1.29	1.31	-1.35	-1.36	-1.36																				
334	HI	MG	HIxMG	5.6	127.9	8.4	1.45	17.7	227.5	12.9	2.8	2.7	2.73	1.36	1.29	1.31	-1.29	-1.47	-1.4																				
335	HI	MG	HIxMG	5.3	158.1	11.3	1.80	16.4	226.7	13.9	2.83	2.69	2.72	1.38	1.27	1.29	-0.97	-1.4	-1.29																				
336	HI	MG	HIxMG	5.4	158.1	9.2	1.63	20.0	250.4	12.5	2.85	2.64	2.7	1.41	1.27	1.31	-1.18	-1.43	-1.36																				
337	PO	MG	POxMG	5.2	43.6	3.2	0.76	16.1	148.0	9.2	2.81	2.69	2.72	1.38	1.27	1.3	-1.18	-1.48	-1.39																				
338	PO	MG	POxMG	5.5	53.5	3.2	0.73	19.8	188.0	9.5	2.89	2.65	2.73	1.42	1.26	1.31	-1.04	-1.63	-1.38																				
339	PO	MG	POxMG	5.5	61.6	5.3	0.89	13.5	179.3	13.3	2.81	2.65	2.71	1.42	1.27	1.32	-1.16	-1.53	-1.39																				
340	FC	MG	FCxMG	5.7	62.2	6.0	1.19	12.0	134.6	11.2	2.87	2.73	2.77	1.44	1.34	1.37	-1.03	-1.09	-1.08																				
341	PO	MG	POxMG	5.8	30.8	2.4	0.98	14.9	80.9	5.4	2.94	2.6	2.69	1.5	1.29	1.34	-0.72	-1.5	-1.2																				
342	PO	MG	POxMG	5.8	24.4	1.6	0.58	17.4	108.4	6.2	2.86	2.64	2.71	1.47	1.36	1.39	-0.91	-1.38	-1.2																				
343	PO	MG	POxMG	5.6	23.8	1.8	0.78	15.4	79.1	5.1	2.82	2.65	2.69	1.42	1.36	1.37	-1.21	-1.44	-1.38																				
344	PO	MG	POxMG	5.9	33.7	3.3	0.90	12.0	96.7	8.0	2.8	2.68	2.71	1.44	1.35	1.37	-1.13	-1.24	-1.22																				
345	PO	MG	POxMG	5.8	27.9	2.1	1.14	15.3	63.1	4.1	2.95	2.62	2.71	1.49	1.33	1.36	-0.92	-1.56	-1.33																				
346	PO	SW	POxSW	3.7	58.7	4.0	0.23	17.2	654.3	38.1	2.64	2.61	2.62	1.25	1.23	1.23	-1.74	-1.77	-1.77																				
347	PO	SW	POxSW	4.1	64.5	3.1	0.27	24.0	614.7	25.6	2.75	2.62	2.64	1.36	1.26	1.28	-0.87	-1.64	-1.38																				
348	PO	SW	POxSW	3.8	44.2	2.6	0.29	19.8	395.3	19.9	2.74	2.62	2.65	1.43	1.31	1.33	-1.14	-1.58	-1.44																				
349	PO	SW	POxSW	3.5	48.8	2.4	0.39	24.2	324.0	13.4	2.77	2.64	2.66	1.36	1.27	1.28	-0.71	-1.64	-1.34																				
350	PO	SW	POxSW	3.5	61.0	2.7	0.19	26.9	838.4	31.2	2.64	2.61	2.61	1.28	1.24	1.25	-1.68	-1.76	-1.75																				
351	PO	SW	POxSW	3.6	47.7	2.3	0.19	24.2	654.7	27.0	2.68	2.59	2.6	1.35	1.26	1.27	-1.47	-1.7	-1.67																				
352	PO	SW	POxSW	3.6	61.6	3.3	0.17	21.7	957.7	44.1	2.77	2.54	2.6	1.39	1.25	1.28	-1.31	-1.76	-1.62																				
353	PO	SW	POxSW	3.8	51.7	2.4	0.16	25.2	848.8	33.7	2.71	2.54	2.57	1.33	1.25	1.27	-1.44	-1.8	-1.72																				
354	PO	SW	POxSW	3.6	56.4	2.2	0.14	29.3	1009.2	34.4	2.75	2.56	2.61	1.39	1.24	1.28	-1.27	-1.77	-1.61																				
355	PO	MG	POxMG	5.8	16.9	1.4	0.81	13.7	53.8	3.9	2.84	2.65	2.7	1.44	1.38	1.39	-1.1	-1.36	-1.3																				
356	PO	SW	POxSW	3.6	36.0	1.9	0.06	21.8	1520.4	69.8	2.77	2.6	2.63	1.4	1.29	1.31	-0.9	-1.64	-1.42																				
357	PO	SW	POxSW	3.7	26.2	1.1	0.07	27.6	1030.0	37.3	2.68	2.59	2.61	1.37	1.27	1.29	-1.39	-1.64	-1.57																				
358	PO	SW	POxSW	3.5	52.9	3.4	0.14	18.0	946.7	52.6	2.68	2.59	2.6	1.35	1.25	1.26	-1.5	-1.77	-1.72																				
359	PO	MG	POxMG	5.7	32.0	2.6	1.21	14.6	67.9	4.6	2.87	2.65	2.7	1.43	1.37	1.38	-1.04	-1.36	-1.28																				
360	PO	MG	POxMG	5.9	31.4	2.1	0.52	17.1	157.1	9.2	2.89	2.65	2.71	1.5	1.35	1.38	-0.92	-1.51	-1.3																				
361	PO	MG	POxMG	6	26.2	1.6	0.82	19.4	82.6	4.3	2.83	2.62	2.66	1.49	1.35	1.38	-1.03	-1.5	-1.39																				
362	PO	MG	POxMG	6.2	20.3	1.4	0.89	17.2	59.2	3.4	2.9	2.64	2.73	1.54	1.36	1.42	-0.7	-1.46	-1.08																				
363	PO	AF	POxAF	6	18.0	1.7	0.76	12.1	60.8	5.0	2.8	2.63	2.66	1.47	1.32	1.35	-1.04	-1.55	-1.42																				
364	PO	AF	POxAF	6.1	19.8	1.2	0.33	19.4	155.6	8.0	2.82	2.64	2.66	1.43	1.32	1.33	-1.17	-1.52	-1.47																				
365	PO	AF	POxAF	6	16.3	1.2	0.79	15.4	53.4	3.5	2.81	2.65	2.71	1.45	1.35	1.38	-1.03	-1.33	-1.21																				
366	PO	AF	POxAF	5.8	26.7	1.4	0.48	22.9	143.6	6.3	2.79	2.6	2.64	1.45	1.3	1.33	-1.12	-1.55	-1.43																				
367	PO	AF	POxAF	6.5	15.7	1.4	1.14	13.6	35.4	2.6	2.84	2.71	2.75	1.48	1.36	1.4	-0.99	-1.12	-1.08																				
368	PO	AF	POxAF	5.9	19.2	1.1	0.78	20.3	63.3	3.1	2.79	2.64	2.69	1.43	1.32	1.36	-1.1	-1.53	-1.35																				
369	PO	AF	POxAF	5.8	20.3	1.7	0.71	13.7	73.7	5.4	2.79	2.63	2.67	1.47	1.33	1.37	-1.1	-1.52	-1.38																				
370	PO	AF	POxAF	5.7	25.6	1.3	0.59	22.3	111.1	5.0	2.8	2.65	2.71	1.45	1.36	1.39	-1.11	-1.35	-1.26																				
371	PO	AF	POxAF	5.4	56.4	2.6	0.31	25.5	475.8	18.7	2.78	2.6	2.65	1.45	1.31	1.34	-1.1	-1.54	-1.4																				
372	PO	AF	POxAF	5.7	33.7	2.2	0.45	18.3	195.2	10.7	2.76	2.63	2.64	1.41	1.35	1.36	-1.32	-1.51	-1.5																				
373	PO	AF	POxAF	6.1	36.0	2.0	0.48	20.9	195.3	9.3	2.77	2.65	2.67	1.46	1.36	1.37	-1.17	-1.44	-1.38																				
374	PO	AF	POxAF	5.7	61.6	2.5	0.64	28.9	249.3	8.6	2.78	2.65	2.67	1.47	1.38	1.39	-1.13	-1.41	-1.36																				
375	PO	AF	POxAF	5.6	64.0	3.3	0.63	22.7	260.5	11.5	2.83	2.63	2.67	1.47	1.33	1.35	-1.1	-1.52	-1.43																				
376	PO	AF	POxAF	5.7	82.6	3.6	0.57	26.5	372.2	14.0	2.74	2.62	2.63	1.39	1.33	1.33	-1.33	-1.58	-1.55																				
377	PO	AF	POxAF	5.6	33.7	1.5	0.59	25.5	147.5	5.8	2.96	2.61	2.68	1.61	1.36	1.4	-0.43	-1.39	-1.08																				
378	PO	AF	POxAF	6.1	15.1	1.5	0.79	11.9	49.3	4.1	2.85	2.65	2.69	1.47	1.33	1.36	-1.01	-1.49	-1.36																				
379	PO	AF	POxAF	5.4	69.2	3.1	0.60	26.5	298.2	11.3	2.83	2.62	2.72	1.56	1.34	1.43	-0.85	-1.51	-1.14																				
380	PO	AF	POxAF	6.2	61.0	2.8	0.50	25.3	313.5	12.4	2.91	2.66	2.74	1.59	1.39	1.45	-0.57	-1.38	-1.01																				
381	PO	AF	POxAF	5.8	27.3	1.4	0.56	23.3	125.1	5.4	2.82	2.64	2.7	1.52	1.35	1.4	-0.97	-1.46	-1.27																				
382	PO	AF	POxAF	5.9	18.0	1.1	0.70	19.5	66.5	3.4	2.81	2.67	2.73	1.49	1.38	1.42	-0.97	-1.34	-1.17																				
383	HI	MG	HIxMG	5.6	151.7	10.9	2.30	16.2	170.4	10.5	2.84	2.62	2.67	1.44	1.28	1.32	-1.11	-1.64	-1.46																				
384	HI	MG	HIxMG	6.4	189.0	11.7	1.91	18.9	255.3	13.5	2.76	2.65	2.67	1.38	1.3	1.32	-1.29	-1.4	-1.38																				
385	HI	MG	HIxMG	5.6	212.8	15.9	2.62	15.7	209.8	13.4	2.85	2.63	2.69	1.44	1.3	1.34	-0.91	-1.56	-1.3																				
386	HI	MG	HIxMG	5.2	168.0	10.4	1.13	18.9	384.6	20.3	2.83	2.62	2.66	1.42	1.31	1.33	-0.93	-1.55	-1.36																				
387	HI	MG	HIxMG	5.9	151.2	12.3	2.72	14.3	143.5	10.0	2.85	2.62	2.69	1.46	1.3	1.35	-0.83	-1.54	-1.22																				
388	HI	MG	HIxMG	5.4	201.7	12.3	1.60	19.2	325.5	16.9	2.79	2.67	2.69	1.42	1.35	1.36	-1.13	-1.34	-1.31																				
389	HI	MG	HIxMG	6.2	118.6	9.9	1.89	13.9	162.1	11.6	2.72	2.64	2.66	1.37	1.29	1.31	-1.36	-1.55	-1.49																				
390	HI	MG	HIxMG	5.5	150.0	8.9	1.34	19.7	289.5	14.7	2.84	2.66	2.71	1.45	1.37	1.39	-0.97	-1.38	-1.26																				
391	HI	MG	HIxMG	5.7	247.7	16.0	1.85	18.0	345.8	19.2	2.78	2.61	2.65	1.4	1.28	1.3	-1.12	-1.65	-1.48																				
392	HI	MG	HIxMG	5.4	108.7	7.2	1.44	17.6	194.6	11.0	2.8	2.65	2.67	1.4	1.36	1.37	-1.21	-1.43	-1.4																				
393	HI	MG	HIxMG	5.4	165.7	12.1	2.61	16.0	163.6	10.2	2.84	2.59	2.66	1.45	1.28	1.33	-0.82	-1.59	-1.27																				
394	HI	MG	HIxMG	5.5	87.2	7.5	1.40	13.7	160.4	11.7	2.72	2.61	2.63	1.33	1.28	1.29	-1.47	-1.62	-1.58																				
395	HI	MG	HIxMG	5.6	201.2	15.1	2.88	15.5	180.3	11.6	2.73	2.63	2.65	1.37	1.31	1.32	-1.36	-1.44	-1.43																				
396	HI	MG	HIxMG	5.2	143.0	11.1	2.16	15.1	171.0	11.3	2.8	2.61	2.66	1.44	1.29	1.32	-1.11	-1.62	-1.45																				
397	HI	MG	HIxMG	5.5	117.4	9.0	1.60	15.2	189.0	12.5	2.75	2.64	2.66	1.36	1.3	1.31	-1.37	-1.48	-1.46																				
398	HI	MG	HIxMG	5.2	175.0	12.8	2.47	15.9	182.9	11.5	2.8	2.63	2.66	1.42	1.3	1.32	-1.2	-1.55	-1.47																				
399	HI	MG	HIxMG	6.1	155.2	12.3	2.56	14.7	156.2	10.6	2.79	2.6	2.63	1.39	1.3	1.32	-1.23	-1.52	-1.46																				
400	HI	MG	HIxMG	5.4	183.7	13.9	2.78	15.4	170.3	11.1	2.75	2.63	2.65	1.41	1.31	1.33	-1.23	-1.43	-1.4																				
401	HI	MG	HIxMG	5.4	198.3	14.6	2.70	15.9	189.4	11.9	2.8	2.65	2.68	1.42	1.33	1.34	-1.21	-1.4	-1.37																				
402	HI	MG	HIxMG	5.1	243.0	15.4	1.78	18.4	352.6	19.1	2.75	2.63	2.66	1.38	1.29	1.31	-1.31	-1.32	-1.32																				
403	LU	AF	LUxAF	6.7	15.7	1.0	0.63	19.1	63.9	3.4	2.86	2.62	2.69	1.51	1.32	1.37	-0.87	-1.33	-1.17																				
404	LU	AF	LUxAF	6.6	16.3	1.0	0.64	19.2	65.4	3.4	2.77	2.65	2.67	1.41	1.34	1.35	-1.19	-1.4	-1.35																				
405	LU	AF	LUxAF	6.6	15.7	1.1	0.63	17.1	63.9	3.7	2.76	2.58	2.63	1.46	1.34	1.37	-1.14	-1.56	-1.41																				
406	LU	AF	LUxAF	6.8	15.1	0.9	0.61	19.4	64.2	3.3	2.83	2.63	2.68	1.5	1.36	1.4	-0.9	-1.39	-1.23																				
407	LU	AF	LUxAF	6.6	14.5	0.9	0.58	18.4	65.0	3.5	2.77	2.68	2.7	1.48	1.4	1.42	-1.07	-1.12	-1.11																				
408	LU	AF	LUxAF	6.8	12.2	0.7	0.56	19.8	56.3	2.8	2.82	2.67	2.7	1.46	1.38	1.4	-1.03	-1.34	-1.27																				
409	LU	AF	LUxAF	6.8	15.1	0.9	0.63	19.0	62.0	3.3	2.82	2.63	2.68	1.51	1.38	1.41	-0.9	-1.28	-1.15																				
410	LU	AF	LUxAF	7.1	11.0	0.7	0.53	19.5	53.9	2.8	2.76	2.63	2.66	1.42	1.35	1.36	-1.17	-1.46	-1.38																				
411	LU	AF	LUxAF	6.6	16.9	1.1	0.72	17.9	60.3	3.4	2.84	2.61	2.65	1.48	1.33	1.36	-0.89	-1.47	-1.33																				
412	LU	AF	LUxAF	6.9	14.0	0.9	0.69	18.7	52.5	2.8	2.92	2.66	2.73	1.54	1.36	1.41	-0.64	-1.36	-1.07																				
413	LU	AF	LUxAF	6.7	16.9	1.1	0.71	17.9	61.5	3.4	2.89	2.55	2.63	1.59	1.3	1.37	-0.67	-1.65	-1.24																				
414	LU	AF	LUxAF	6.9	14.5	1.0	0.66	17.3	56.5	3.3	2.8	2.63	2.68	1.47	1.35	1.38	-1.02	-1.47	-1.3																				
415	FC	AF	FCxAF	7.7	14.5	0.9	0.78	18.2	48.0	2.6	2.78	2.6	2.62	1.4	1.29	1.3	-0.86	-1.67	-1.45																				
416	FC	AF	FCxAF	7.7	12.2	0.9	0.60	15.5	52.2	3.4	2.75	2.57	2.62	1.41	1.29	1.32	-1.24	-1.66	-1.53																				
